## 2023
aNnWVuE2i6o,Wardens | Episode 3: Operation Waterfall | FD Real Show,43:45,2023-09-01T22:00:49Z
FxpD7bTiaow,Gold Fever | Episode 2: Hit and Run | FD Real,44m 20s,2023-03-29T22:01:00Z
fCEja4uj_JM,Gold Fever | Episode 1: Treasure Keys | FD Real Show,44m 5s,2023-03-22T23:00:17Z
I0ZPBa8DWyg,Alaska's Ultimate Bush Pilots | Season 2, Episode 8: On Thin Ice | FD Real Show,20m 54s,2023-03-17T23:00:53Z
MdxKyUd-Q-8,Backcountry Rescue | Episode 8: Rescue Team Saves Trapped Men | FD Real Show,20m 38s,2023-03-15T23:00:46Z
pLVFE3wRXEg,Alaska's Ultimate Bush Pilots | Season 2, Episode 7: Flying High | FD Real Show,20m 56s,2023-03-10T23:00:48Z
UHOgJpmvC2I,Backcountry Rescue | Episode 7: Teenager Falls Off Dangerous Cliff | FD Real Show,20m 54s,2023-03-08T23:01:04Z
shd6XA2_ppQ,Alaska's Ultimate Bush Pilots | Season 2, Episode 6: Into the Deep | FD Real Show,20m 54s,2023-03-03T23:00:57Z
uQ3s7mvA4Kw,Backcountry Rescue | Episode 6: Skier Survives Being Buried by an Avalanche | FD Real Show,20m 39s,2023-03-01T23:00:47Z
osedvG0vH0Y,Alaska's Ultimate Bush Pilots | Season 2 Episode 5: Hanging By A Thread | FD Real Show,20m 54s,2023-02-24T23:01:09Z
-dL0Nh5Skw0,Backcountry Rescue | Episode 5: Stranded Patient Almost Freezes to Death | FD Real Show,20m 54s,2023-02-22T23:00:46Z
D6fJaPzs-EE,Alaska's Ultimate Bush Pilots | Season 2, Episode 4: Heaven At 5000 Feet | FD Real Show,20m 54s,2023-02-17T23:00:52Z
ESOUL4XV-l8,Backcountry Rescue | Episode 4: Juggled Lives | FD Real Show,20m 39s,2023-02-15T23:00:47Z
Mkml2l3JKvI,Alaska's Ultimate Bush Pilots | Season 2, Episode 3: Salvage Gone Awry | FD Real Show,20m 53s,2023-02-10T23:00:47Z
WcgRDVgQ6ao,Backcountry Rescue | Episode 3: Married to the Job | FD Real Show,21m 9s,2023-02-08T23:00:55Z
RLphwVfheTg,Alaska's Ultimate Bush Pilots | Season 2, Episode 2: Without A Trace | FD Real Show,20m 54s,2023-02-03T23:00:48Z
8KkHT4JlkVk,Backcountry Rescue | Episode 2: Home Safe | FD Real Show,20m 37s,2023-02-01T22:59:51Z
5Oi4NxgcC1Q,Alaska's Ultimate Bush Pilots | Season 2, Episode 1: Ice Climbers | FD Real Show,20m 54s,2023-01-27T23:00:03Z
Y2W98O4jmKc,Backcountry Rescue | Episode 1: Rookie Pressure | FD Real Show,20m 38s,2023-01-25T23:00:13Z
zNkpF9r-h_E,Alaska's Ultimate Bush Pilots | Episode 8: Closing Time | FD Real Show,21m 34s,2023-01-20T23:59:48Z
KK7hxhG1XcU,Alaska's Ultimate Bush Pilots | Episode 7: Surf's Up | FD Real Show,21m 34s,2023-01-18T23:59:53Z
RGrUKf38AaA,Intake: Army Recruits | Episode 7: Graduation | FD Real Show,26m 6s,2023-01-13T22:59:51Z
9RKF_Q6iAu8,Alaska's Ultimate Bush Pilots | Episode 6: Training Day | FD Real Show,21m 35s,2023-01-12T00:00:00Z
im307kmHvy4,Intake: Army Recruits | Episode 6: Ultimate Challenge | FD Real Show,26m 3s,2023-01-06T22:59:58Z
MGMwealQ72Q,Alaska's Ultimate Bush Pilots | Episode 5: Risky Business | FD Real Show,21m 33s,2023-01-05T00:00:30Z
