"Video ID",Title,Description,Length,Published
yGGEWyF24G8,"Venus: Doing Science in Hell","Watch the 50-minute 4k feature, Venus Death of a Planet, on: https://www.magellantv.com/video/venus-death-of-a-planet-4k At Venus’ surface, the temperature is twice as high as in a pizza oven. The atmospheric pressure would make you feel like being 1 kilometer deep in Earth’s oceans. Yet visionary engineers are pushing the boundaries of materials science to build probes that can deliver data from the depths of this crushing inferno. Experts describe their battle strategies and technologies.","8m 59s","2020-08-13T22:00:37Z"
uCYyog_CD_c,"Cloud Cities of Venus: Settling Earth's Twin","Four billion years ago, Venus, Earth and Mars each held the promise of supporting life, with oceans, supportive climates, and the chemical ingredients of biology. Over the eons since, Mars lost its atmosphere, turning ever colder, while Venus entered a death-spiral of ever-increasing heat. But, 50 km above its desolate surface, the cool cloud tops of Venus offer a potential refuge. This zone is protected from cosmic and solar radiation overhead and the blistering surface temperatures below.  Solar powered ships and habitats could effortlessly float there, sailing the brisk winds that circle the globe. That has inspired visionary engineers and scientists to take the first steps toward settling the 2nd planet from the Sun.","37m 51s","2020-07-31T16:00:09Z"
KO232yiziuc,"Hubble Eye In The Sky - 4k","Based on the NASA mini-series. Positioned above Earth’s murky atmosphere, Hubble fundamentally changed the field of astronomy and our understanding of the universe. In this beautiful show, viewers get an inside look at the challenges of operating the telescope, along with an understanding of the groundbreaking discoveries that forever changed the way we view space. Leading scientists, engineers and a Nobel prize winner take us through the innovation and strategies that keep the telescope in prime condition.","29m 40s","2020-07-29T16:08:18Z"
"-jSg336Cgq8","How Large is the Universe? 4k","The universe has long captivated us with its immense scales of distance and time. How far does it stretch? Where does it end, and what lies beyond its star fields and streams of galaxies extending as far as telescopes can see? These questions are beginning to yield to a series of extraordinary new lines of investigation and technologies that are letting us to peer into the most distant realms of the cosmos. But also at the behavior of matter and energy on the smallest of scales. Remarkably, our growing understanding of this kingdom of the ultra-tiny, inside the nuclei of atoms, permits us to glimpse the largest vistas of space and time. In ancient times, most observers saw the stars as a sphere surrounding the earth, often the home of deities. The Greeks were the first to see celestial events as phenomena, subject to human investigation rather than the fickle whims of the Gods. One sky-watcher, for example, suggested that meteors are made of materials found on Earth... and might have even come from the Earth. Those early astronomers built the foundations of modern science. But they would be shocked to see the discoveries made by their counterparts today. The stars and planets that once harbored the gods are now seen as infinitesimal parts of a vast scaffolding of matter and energy extending far out into space. Just how far began to emerge in the 1920s. Working at the huge new 100-inch Hooker Telescope on California's Mt. Wilson, astronomer Edwin Hubble, along with his assistant named Milt Humason, analyzed the light of fuzzy patches of sky... known then as nebulae. They showed that these were actually distant galaxies far beyond our own. Hubble and Humason discovered that most of them are moving away from us. The farther out they looked, the faster they were receding. This fact, now known as Hubble's law, suggests that there must have been a time when the matter in all these galaxies was together in one place. That time, when our universe sprung forth, has come to be called the Big Bang. How large the cosmos has gotten since then depends on how long its been growing and its expansion rate. Recent precision measurements gathered by the Hubble space telescope and other instruments have brought a consensus... That the universe dates back 13.7 billion years. Its radius, then, is the distance a beam of light would have traveled in that time ... 13.7 billion light years. That works out to about 1.3 quadrillion kilometers. In fact, it's even bigger.... Much bigger. How it got so large, so fast, was until recently a deep mystery. That the universe could expand had been predicted back in 1917 by Albert Einstein, except that Einstein himself didn't believe it until he saw Hubble and Humason's evidence. Einstein's general theory of relativity suggested that galaxies could be moving apart because space itself is expanding. So when a photon gets blasted out from a distant star, it moves through a cosmic landscape that is getting larger and larger, increasing the distance it must travel to reach us. In 1995, the orbiting telescope named for Edwin Hubble began to take the measure of the universe... by looking for the most distant galaxies it could see. Taking the expansion of the universe into account, the space telescope found galaxies that are now almost 46 billion light years away from us in each direction... and almost 92 billion light years from each other. And that would be the whole universe... according to a straightforward model of the big bang. But remarkably, that might be a mere speck within the universe as a whole, according to a dramatic new theory that describes the origins of the cosmos. ABOUT US Here at SpaceRip, we value the exploration of the unknown. We surpass boundaries for the sake of uncovering the mysteries of the cosmos and what they may tell us about our origin and our future. With our videos, we hope to educate our viewers on how we fit into the universe, and more so how we can do our part to better it.","25m 2s","2020-04-13T18:18:54Z"
oqfjl_HtFdA,"SuperTornado: Anatomy of a Megadisaster - 4K","May 22, 2011, the costliest tornado in American history struck Joplin, Missouri, carving a mile-wide swath of destruction and death. Scientists descended on the city to find out what made this tornado so destructive. This film visits Joplin at the five-year mark, as its people continue to pick up the pieces and struggle to make sense of one of the worst natural disasters ever to hit the heartland.","44m 12s","2020-01-26T23:00:10Z"
3FPyevxctFs,"Seeing Inside the Sun - 4K","How can we peer inside the Sun to find out how it delivers its life-giving warmth to planet Earth? Dr. Robert Stein, professor of Physics and Astronomy at Michigan State Universe has long envisioned a day when he could use supercomputer programs to ""see"" through the roiling surface of the sun and glimpse its dynamic interior. He describes his quest and offers ideas about what drives the violent outbursts known as coronal mass ejections, or CMEs, known to disrupt the electrical systems that power our civilization. You can find all our 4K UHD content and more great space and science shows here: https://www.magellantv.com/genres/space","9m 54s","2020-01-24T18:00:01Z"
M7RMnpiUrfE,"When Will Time End? - 4k","You can find this and many other great 4k docs on our MagellanTV app. https://www.magellantv.com/genres/space The answer to this question may depend on whether Stephen Hawking was right in his theory that describes how black holes shed mass and eventually decay. Time is flying by on this busy, crowded planet as life changes and evolves from second to second. At the same time, the arc of the human lifespan is getting longer: 67 years is the global average, up from just 20 years in the Stone Age. Modern science provides a humbling perspective. Our lives, indeed even that of the human species, are just a blip compared to the Earth, at 4.5 billion years and counting, and the universe, at 13.7 billion years. It now appears the entire cosmos is living on borrowed time. It may be a blip within a much grander sweep of time. When, we now ask, will time end? Our lives are governed by cycles of waking and sleeping, the seasons, birth and death. Understanding time in cyclical terms connects us to the natural world, but it does not answer the questions of science. What explains Earth's past, its geological eras and its ancient creatures? And where did our world come from? How and when will it end? In the revolutions spawned by Copernicus and Darwin, we began to see time as an arrow, in a universe that's always changing. The 19th century physicist, Ludwig Boltzmann, found a law he believed governed the flight of Time's arrow. Entropy, based on the 2nd law of thermodynamics, holds that states of disorder tend to increase. From neat, orderly starting points, the elements, living things, the earth, the sun, the galaxy. are all headed eventually to states of high entropy or disorder. Nature fights this inevitable disintegration by constantly reassembling matter and energy into lower states of entropy in cycles of death and rebirth. Will entropy someday win the battle and put the breaks on time's arrow? Or will time, stubbornly, keep moving forward? We are observers, and pawns, in this cosmic conflict. We seek mastery of time's workings, even as the clock ticks down to our own certain end. Our windows into the nature of time are the mechanisms we use to chart and measure a changing universe, from the mechanical clocks of old, to the decay of radioactive elements, or telescopes that measure the speed of distant objects. Our lives move in sync with the 24-hour day, the time it takes the Earth to rotate once. Well, it's actually 23 hours, 56 minutes and 4.1 seconds if you're judging by the stars, not the sun. Earth got its spin at the time of its birth, from the bombardment of rocks and dust that formed it. But it's gradually losing it to drag from the moon's gravity. ABOUT US Here at SpaceRip, we value the exploration of the unknown. We surpass boundaries for the sake of uncovering the mysteries of the cosmos and what they may tell us about our origin and our future. With our videos, we hope to educate our viewers on how we fit into the universe, and more so how we can do our part to better it. We believe there is no better time to inform ourselves about the world around us. Our partnership with MagellanTV is aimed to educate viewers on our complex world to prepare for our rapidly changing future. Through our videos we hope to capture a variety of important topics with the overall goal of promoting positive discussion and action.",25m,"2020-01-11T20:44:13Z"
lSRdJYGtvnY,"Is the Universe Infinite? - 4k","Check out our full collection of 4k and other space shows at: https://www.magellantv.com/genres/space This film, remastered in 4k Ultra High-Def, explores the biggest question of all. How far do the stars stretch out into space? And what's beyond them? From intensive computer modeling, and myriad close observations, scientists have uncovered important clues to the ongoing evolution of the universe. Many now conclude that what we can see, the stars and galaxies that stretch out to the limits of our vision, represent only a small fraction of all there is. Does the universe go on forever? Where do we fit within it? And how would the great thinkers have wrapped their brains around the far-out ideas on today's cutting edge? ABOUT US Here at SpaceRip, we value the exploration of the unknown. We surpass boundaries for the sake of uncovering the mysteries of the cosmos and what they may tell us about our origin and our future. With our videos, we hope to educate our viewers on how we fit into the universe, and more so how we can do our part to better it. We have partnered with MagellanTV with the goal of providing our viewers with insight regarding our uncertain future on Earth and beyond. Equipped with knowledge, we hope to inspire people to enact change and pave the way for a better tomorrow.","25m 2s","2019-10-28T19:58:24Z"
nZIOZwUPNnA,"Climate Change NOW","The information presented in this video comes from the ""Fourth National Climate Assessment,"" published in 2018 by the US Global Change Research Program administered by the National Oceanic and Atmospheric Administration (NOAA). Climate change is one of the most intensively studied phenomena in the world today. This video offers a brief summary of the direction of Earth's climate today. Researchers have documented changes in a range of areas, including land, atmospheric and ocean temperatures, glacial melting, shrinking sea ice, rising sea levels, ocean acidification, increased water vapor and more. It's hard, given what we know and what many people around the world have experienced, that climate change is already a distressing reality.","5m 18s","2019-08-22T17:51:46Z"
AEEpHmC1jzo,"Apollo 8 and the Reading of Genesis - 4K","The day before Christmas, 1968. The astronauts of Apollo 8 read from Genesis as they orbited the moon for the first time, crossing the dark side and into the brilliant light of the sun. The reading, broadcast to the world, not only expressed the wonder experienced by the astronauts and marked the historic moment: the first time humans had flown to the moon and looked back at Earth. Subsequently, an atheist group sued. The action that went nowhere, but on later missions astronauts were a little more circumspect about expressing purely Christian themes and readings.","1m 58s","2019-08-01T15:22:29Z"
DlczwcBDzeE,"Apollo's New Moon - 4k","This extraordinary film features NASA film footage enhanced by AI-based software and other digital processing. The clarity of the images gives viewers a whole new perspective on what it was like to step onto lunar soil and ramble about the alien landscapes. The film shows how teams of astronauts collected evidence that has revolutionized our understanding of the origin of both Earth and the moon.","49m 59s","2019-07-18T23:58:17Z"
RuR6NQNaRyg,"Hubble Legacy Field: One of the Most Important Images of All Time - 4K","For more 4K space, and more great History and Science than you'll ever watch, check out our sister network... https://www.magellantv.com/featured Since its launch in 1990, the NASA ESA Hubble Space Telescope has completed a million and a half observations of nearly 50,000 celestial objects. The Hubble team has now released what may be their most detailed image of the deep universe, and one of the most important in all of human history. Explore the Hubble Legacy Field, a mosaic of 7,500 images that tells the story of our universe going back to nearly the time of the Big Bang. It's a crowning achievement in this golden age of astronomy.","9m 19s","2019-07-02T17:58:19Z"
_g6X4Dzos5E,"The Incredible Journey of Apollo 12 - 4K","For more 4K space, and more great History and Science, check out our sister network... https://www.magellantv.com/featured This is the ultimate buddy movie. November 14, 1969... three astronauts with spacesuits, food, water, and a battery of scientific and communications equipment prepared to fly to the moon. Thousands gathered at the Kennedy Space Center in Florida, including President and Mrs. Richard Nixon, to witness the historic launch. It was raining that day, but that was no cause for delay. The ship that would carry them into space was designed to launch in any weather. But how would it respond to a powerful electrical storm now gathering above the launch pad? That was just the beginning of the incredible journey of Apollo 12. With three astronauts fastened into their seats, the countdown proceeded. Astronaut and Mission Commander Pete Conrad would say later: ""The flight was extremely normal, for the first 36 seconds."" The five engines of the Saturn 5's huge first stage were designed to burn through 5 million pounds of liquid oxygen in just two and a half minutes, and to send the spacecraft up 67 kilometers above the Atlantic Ocean. When it reached an altitude of 2000 meters, something unexpected happened. Racing through the stormy environment, the rocket generated a lightning bolt that traveled down its highly conductive exhaust trail. Another bolt hit 16 seconds later. All of the spacecraft's circuit breakers shut off. The tracking system was lost. A young flight controller in Houston, Texas instructed astronaut Alan Bean on how to turn on an auxiliary power system. The mission was back on track. Once in Earth orbit, all systems appeared to check out, and flight control officials gave the crew the green light to leave Earth. The astronauts were not told of concern that the lighting strikes had damaged the pyrotechnic system used to deploy the parachutes that would ease them back through the Earth's atmosphere. If that system failed, the astronauts would not return alive. This mission would have its share of perils, not unlike those faced by a long line of past explorers, whose courage and restless spirit propelled them into the unknown. This one, however, was backed by years of technology development, test flights, astronaut training, and the largest support team back home that any mission ever had. But hundreds of thousands of kilometers out in space the three astronauts were pretty much on their own. What made Apollo 12 unique was the friendship and chemistry of its crew. Conrad, Bean, and Richard Gordon were all Navy men. Working and training together on the Gemini program, they had gained each other's respect and trust. Now, hurtling across more than 400,000 kilometers to the moon, they prepared to fullfill the mission's goals. One was to set up a scientific station designed to record seismic, atmospheric, and solar data. Another was to visit an unmanned lunar probe called Surveyor III that had landed there two and a half years before. The idea was to bring back a part to study the effect of the lunar environment. A third goal was to improve on the landing of Apollo 11 just 5 months before. Dropping down over a region called the Sea of Tranquility, pilot Neil Armstrong found himself heading straight for a crater full of boulders. He had to fly over the planned landing site and find a new one. Now kilometers beyond the target, the lander, called Eagle, was literally running out of gas. With less than 30 seconds of fuel left, Neil Armstrong and Buzz Aldrin finally touched down on a landscape obscured by dust stirred up by the vehicle's thrusters. Future astronauts would have to be able to make precision landings at locations dictated by science. That meant they would have to touch down on landscapes filled with all kinds of rocks and craters. For Apollo 12, the science pointed to a region known as the Ocean of Storms, some 2000 kilometers from where the Eagle had landed. Here, the landscape is dark from lava that cooled to form its flat expanse billions of years ago.","25m 2s","2019-06-24T20:47:01Z"
LVtNvJPU1wY,"Earth's Most Destructive SuperVolcanoes 4K","For more 4K space, and more great History and Science than you'll ever watch, check out our sister network... https://www.magellantv.com/featured This video was converted to 4K from HD using an AI-based computer program. This documentary explores volcanic eruptions so vast, so Earth-shattering, they have changed the history of our planet. Climate collapse. Toxic turmoil. Mass extinction. Worse than a killer asteroid, or nuclear war, they are Earth's most destructive Supervolcanoes.","28m 5s","2019-06-19T19:55:23Z"
nz4mOCRveP8,"Birth of a Black Hole 4K","For more 4K space, and more great History and Science than you'll ever watch, check out our sister network... https://www.magellantv.com/featured This SpaceRip classic explores one of the greatest mysteries in modern science: a series of brief but extremely bright flashes of ultra-high energy light coming from somewhere out in space. These gamma ray bursts were first spotted by spy satellites in the 1960s. It took three decades and a revolution in high-energy astronomy for scientists to figure out what they were: black holes at the moment of their birth. Far out in space, in the center of a seething cosmic maelstrom. Extreme heat. High velocities. Atoms tear, and space literally buckles. Photons fly out across the universe, energized to the limits found in nature. Billions of years later, they enter the detectors of spacecraft stationed above our atmosphere. Our ability to record them is part of a new age of high-energy astronomy, and a new age of insights into nature at its most extreme. What can we learn by witnessing the violent birth of a black hole? The outer limits of a black hole, call the event horizon, is subject to what Albert Einstein called frame dragging, in which space and time are pulled along on a path that leads into the black hole. As gas, dust, stars or planets fall into the hole, they form into a disk that spirals in with the flow of space time, reaching the speed of light just as it hits the event horizon. The spinning motion of this so-called ""accretion disk"" can channel some of the inflowing matter out into a pair of high-energy beams, or jets. How a jet can form was shown in a supercomputer simulation of a short gamma ray burst. It was based on a 40-millisecond long burst recorded by Swift on May 9, 2005. It took five minutes for the afterglow to fade, but that was enough for astronomers to capture crucial details. It had come from a giant galaxy 2.6 billion light years away, filled with old stars. Scientists suspected that this was a case of two dead stars falling into a catastrophic embrace. Orbiting each other, they moved ever closer, gradually gaining speed. At the end of the line, they began tearing each other apart, until they finally merged. NASA scientists simulated the final 35 thousandths of a second, when a black hole forms. Chaos reigns. But the new structure becomes steadily more organized, and a magnetic field takes on the character of a jet. Within less than a second after the black hole is born, it launches a jet of particles to a speed approaching light. A similar chain of events, in the death of a large star, is responsible for longer gamma ray bursts. Stars resist gravity by generating photons that push outward on their enormous mass. But the weight of a large star's core increases from the accumulation of heavy elements produced in nuclear fusion. In time, its outer layers cannot resist the inward pull... and the star collapses. The crash produces a shock wave that races through the star and obliterates it. In the largest of these dying stars, known as collapsars or hypernovae, a black hole forms in the collapse. Matter flowing in forms a disk. Charged particles create magnetic fields that twist off this disk, sending a portion out in high-speed jets. Simulations show that the jet is powerful enough to plow its way through the star. In so doing, it may help trigger the explosion. The birth of a black hole does not simply light up the universe. It is a crucial event in the spread of heavy elements that seed the birth of new solar systems and planets. But the black hole birth cries that we can now register with a fleet of high-energy telescopes are part of wider response to gravity's convulsive power.","25m 2s","2019-06-05T18:48:38Z"
qzYfwHr_62g,"Buzz Aldrin Shows Us How to Walk on the Moon - 4k","For more 4K space, and more great History and Science than you'll ever watch, check out our sister network... https://www.magellantv.com/featured July 20th 1969: 49 minutes after Neil Armstrong delivered his “one small step” line, Buzz Aldrin conducted a series of mobility tests to determine the best ways for astronauts to get around the lunar surface. His walkabout was seen live on television screens across planet Earth. Here – presented in 4K video for the first time – is the view from a motion picture camera in the Lunar Module. NASA’s original slow-scan TV stream has been inset for comparison. Buzz’s test ended when Mission Control patched through a call from the President of the United States, Richard Nixon. Suggested Tags: Moonwalk, Apollo 11, Buzz Aldrin, walking on the moon, mobility. Buzz Aldrin: I'd like to evaluate the various paces that a person can (static) traveling on the lunar surface. I believe I'm out of your field-of-view. Is that right, now, Houston? Bruce McCandless CAPCOM (Mission Control): That's affirmative, Buzz. You're in our field-of-view now. Buzz Aldrin: Alright, you do have to be rather careful to keep track of where your center of mass is. Sometimes, it takes about two or three paces to make sure you've got your feet underneath you. About two to three or maybe four easy paces can bring you to a fairly smooth stop. (To) change directions, like a football player, you just have to put a foot out to the side and cut a little bit. The so-called kangaroo hop does work, but it seems as though your forward mobility is not quite as good as it is in the more conventional one foot after another. As far as saying what a sustained pace might be, I think that one that I'm using now would get rather tiring after several hundred (static). But this may be a function of this suit, as well as the lack of gravity forces.","3m 45s","2019-05-13T21:06:01Z"
"KpV-VEv3VUE","Seeing the Beginning of Time 4k","For more 4K space, and more great History and Science than you'll ever watch, check out our sister network... https://www.magellantv.com/featured Astronomers have begun one of the most far-reaching efforts to study the cosmos. They are building giant new telescopes, while marshaling vast computational power. These technologies are part of a historic quest: to peer into space and time, to find out how the universe gave birth to galaxies and planets, to discern the amazing world of gravity and test theories by Einstein and other scientists. ABOUT US Here at SpaceRip, we value the exploration of the unknown. We surpass boundaries for the sake of uncovering the mysteries of the cosmos and what they may tell us about our origin and our future. With our videos, we hope to educate our viewers on how we fit into the universe, and more so how we can do our part to better it. We believe there is no better time to inform ourselves about the world around us. Our partnership with MagellanTV is aimed to educate viewers on our complex world to prepare for our rapidly changing future. Through our videos we hope to capture a variety of important topics with the overall goal of promoting positive discussion and action.","47m 58s","2019-04-19T17:07:04Z"
u4NQVyzFhRI,"Hurricane Florence: Storm of the Future","For more 4K space, and more great History and Science than you'll ever watch, check out our sister network... https://www.magellantv.com/featured Hurricane Florence offers a glimpse of the rising dangers posed by tropical storms and other major weather systems to American coastal states. Populations are steadily rising, not just along the beach, but inland as well. With ocean temperatures rising, hurricanes and tropical storms transport vast amounts of rain to these inland communities, causing catastrophic flooding. Hurricanes Harvey, Matthew, and Florence are part of a perfect storm of rising vulnerability and rising threat. Sadly, they also show how unprepared we are.","17m 41s","2018-10-04T13:50:51Z"
"lDZP7p6Nq-g","Best of NASA: Landmark ""Ghost Particle"" Detection in 4k","For more 4K space, and more great History and Science than you'll ever watch, check out our sister network... https://www.magellantv.com/featured High-energy neutrinos are hard-to-catch particles that scientists think are created by the most powerful events in the cosmos, such as galaxy mergers and material falling onto supermassive black holes. They travel at speeds just shy of the speed of light and rarely interact with other matter, allowing them to travel unimpeded across distances of billions of light-years. For the first time ever, scientists using NASA’s Fermi Gamma-ray Space Telescope have found the source of a high-energy neutrino from outside our galaxy. This neutrino traveled 3.7 billion years at almost the speed of light before being detected on Earth. This is farther than any other neutrino whose origin scientists can identify. Artist visual of a supermassive black hole in a distant galaxy The discovery of a high-energy neutrino on September 22, 2017, sent astronomers on a chase to locate its source—a supermassive black hole in a distant galaxy. Video: NASA's Fermi Links Cosmic Neutrino to Monster Black Hole The neutrino was discovered by an international team of scientists using the National Science Foundation’s IceCube Neutrino Observatory at the Amundsen–Scott South Pole Station. Fermi found the source of the neutrino by tracing its path back to a blast of gamma-ray light from a distant supermassive black hole in the constellation Orion.","2m 7s","2018-07-12T17:04:32Z"
HUauhrSSj_4,"Best of NASA: Tour Of The Moon in 4K","For more 4K space, and more great History and Science than you'll ever watch, check out our sister network... https://www.magellantv.com/featured In this grand tour of the Moon's surface from NASA, the camera flies over the lunar terrain, coming in for close looks at a variety of interesting sites ased on data from the Lunar Reconnaissance Orbiter. Location and scale provided for the image center. Music Provided By Killer Tracks: ""Never Looking Back"" - Frederick Wiedmann. ""Flying over Turmoil"" - Benjamin Krause & Scott Goodman.","4m 57s","2018-06-08T21:09:29Z"
o2lRpiediP8,"Collision That Formed The Moon","Hey Everyone, You can find our 4K UHD content and more great space and science shows on: https://www.magellantv.com/genres/space Over five decades ago, Apollo astronauts brought back to Earth a wide variety of rocks from the Moon. Analysis of these rocks gave rise to a set of ideas describing the origin of the Moon called the Giant Impact Theory. In the last decade, scientists like Robin Canup have been testing a number of predictions of this theory using a new generation of powerful supercomputers. In this video, Dr. Canup showcases her recent results. The visualization is a work in progress produced for the upcoming giant screen fulldome film ""Birth of Planet,"" with funding from the National Science Foundation.","8m 37s","2018-02-28T20:54:45Z"
inuCAqj8UgQ,"Seeing Inside the Sun","Dr. Robert Stein, professor of Physics and Astronomy at Michigan State Universe has long envisioned a day when he could use supercomputer programs to ""see"" through the roiling surface of the sun and glimpse its dynamic interior. He describes his quest and offers ideas about what drives the violent outbursts known as coronal mass ejections, or CMEs, known to disrupt the electrical systems that power our civilization.","9m 55s","2018-02-05T18:38:43Z"
C1mmTwjHhHs,"Star Crash: The Explosion that Transformed Astronomy","For more 4K space, and more great History and Science than you'll ever watch, check out our sister network... https://www.magellantv.com/featured A startling collision in an ancient galaxy slews Earth's largest telescopes to a spot in the Hydra constellation. Two rapidly spinning neutron stars have violently merged to form a possible black hole. And, for the first time, astronomers see its electromagnetic flash and hear its gravitational thunder as they watch new elements being born. ABOUT US Here at SpaceRip, we value the exploration of the unknown. We surpass boundaries for the sake of uncovering the mysteries of the cosmos and what they may tell us about our origin and our future. With our videos, we hope to educate our viewers on how we fit into the universe, and more so how we can do our part to better it. We believe there is no better time to inform ourselves about the world around us. Our partnership with MagellanTV is aimed to educate viewers on our complex world to prepare for our rapidly changing future. Through our videos we hope to capture a variety of important topics with the overall goal of promoting positive discussion and action. Narrator: Perry Anne Norton Writer / Director: @DavidSkyBrody Executive Producer: Thomas Lucas","15m 21s","2017-11-13T19:00:55Z"
