##2010
4hGQiFCXSns,Parking Wars: Family Affair | A&E,2m 26s,2010-12-27T02:14:41Z
IK1ZD6-hOjY,Intervention: Extended Intervention - Amber | A&E,4m 37s,2010-12-03T03:26:09Z
nUeEPztbQwc,Parking Wars: Reunited | A&E,2m 43s,2010-12-03T03:25:24Z
-hSXiQJViow,Storage Wars: Sneak Peek | A&E,6m 29s,2010-11-19T16:24:59Z
5XaCYQkeFF8,Storage Wars: Watch New Episodes on A&E | A&E,31s,2010-11-12T15:49:31Z
CnWTwmoUi4c,Some People are Born Awesome: Hasselhoff Baby | A&E,31s,2010-10-20T17:56:13Z
6fvO4UwH0OY,Parking Wars: Tale of Two Cities | A&E,2m 18s,2010-10-15T23:01:14Z
pqY9u7dGOU4,Parking Wars: A Few Of My Funniest Things | A&E,2m 20s,2010-10-15T22:54:34Z
lH8jluZwohQ,Billy the Exterminator: Bottle Traps & Vaseline | A&E,2m 31s,2010-10-07T19:46:09Z
SeoWtvYA-OI,Billy the Exterminator: Entry Points | A&E,3m 18s,2010-10-07T19:44:51Z
gWXIDInfygo,After the First 48: Silence the Violence | A&E,3m 18s,2010-10-01T14:56:26Z
6oH-kbAb24A,After the First 48: Chaos in the Courtroom | A&E,3m 36s,2010-10-01T14:56:02Z
sALZ5wtNQ6c,After the First 48: Decision to Kill | A&E,2m 4s,2010-10-01T14:54:37Z
uSnQNNCpGgU,Hoarders: Julie Falsely Accuses Her Mother & Shannon Loves Mice | A&E,3m 18s,2010-09-17T14:26:10Z
jskU39JxFf8,Hoarders: Bob Grocery Shops For Sport & Richard is a Collector | A&E,2m 38s,2010-09-17T14:23:28Z
rR5b-KGj4zM,Hoarders: Tra's Snowball Effect & Jill the Democratic Hoarder | A&E,3m 15s,2010-09-17T14:23:24Z
g3NYxr6eCd8,Hoarders: Jennifer Helps Ron Sort Through His Belongings | A&E,1m 42s,2010-09-17T14:21:18Z
mwxmlLid_PI,Hoarders: Janet's Daughter Gives Her Opinion & Christina Breaks Down | A&E,2m 58s,2010-09-17T14:20:06Z
4IrpELPXZP0,Hoarders: Season 3 - Sneak Peek | A&E,1m 1s,2010-08-30T23:39:00Z
iGHAf17OGd0,Hoarders - Season 3 Teaser | A&E,1m 1s,2010-08-20T14:17:34Z
VaiQZYoiWhk,Dog The Bounty Hunter: Leland Needs a New Ride | A&E,1m 48s,2010-08-05T23:06:03Z
v86AwnoG44g,Dog The Bounty Hunter: The Bow Wow Vow | A&E,3m 30s,2010-08-05T23:02:58Z
UA9aOzWV72k,Criss Angel Mindfreak: Criss's Exclusive Look Into Motorhead | A&E,1m 30s,2010-08-04T23:08:17Z
VioFp9bnP0c,Criss Angel Mindfreak: Best Of - Strongman | A&E,5m 17s,2010-08-04T23:00:53Z
-x22JNEHiWg,Intervention: Follow-Up - Travis' Perspective | A&E,4m 33s,2010-08-04T22:54:23Z
Q7KUC-4yhBk,Intervention: Follow-Up - Jill's Realizations | A&E,3m 45s,2010-08-04T22:47:22Z
pXhj9yRxIEo,Criss Angel Mindfreak: Exclusive Look Into Burning Man | A&E,3m 2s,2010-08-04T22:46:52Z
DXuRlX8WqCw,Gene Simmons: Family Jewels: Bloopers - Geneisms | A&E,2m 6s,2010-08-04T22:45:20Z
Xecmtr7sVIQ,Criss Angel Mindfreak: Guest Editorial | A&E,2m 30s,2010-07-21T14:09:42Z
vmtN-yIWXe4,Pawn Stars: Biggest Bust | History,1m 27s,2010-07-16T15:06:08Z
B2gqUkxEqgE,Criss Angel Mindfreak: Criss as Doug Henning | A&E,2m 24s,2010-06-24T23:48:14Z
F4Lw6JK6ZMI,Criss Angel Mindfreak: Working With Animals | A&E,1m 41s,2010-06-24T23:43:11Z
X_2LnGnN_nk,The First 48: Road Rage 1 | A&E,2m 58s,2010-06-19T00:07:10Z
0S9PGu0BgnY,Hoarders: Jake Fights His Anxiety & Shirley Finds A Skunk | A&E,3m 40s,2010-06-18T23:59:42Z
44mmg6Jy0wA,Hoarders: Augustine's Son Jason Expresses His Honest Opinions | A&E,2m 59s,2010-06-18T23:52:58Z
TEv4m0JfY7k,The First 48: Road Rage 2 | A&E,3m 26s,2010-06-18T23:52:41Z
AJJ_QTWidc0,Dog The Bounty Hunter: Earthquake Fallout | A&E,2m 44s,2010-05-21T02:51:24Z
n8dv1qULhY8,Dog The Bounty Hunter: Dog at the Chopper Expo | A&E,1m 32s,2010-05-21T02:49:22Z
fsQE485uQ98,Dog The Bounty Hunter: Pow Wow The Speech | A&E,2m 15s,2010-05-21T02:49:00Z
o_D1lkRw0TE,The Exterminators: Nature and the Bees | A&E,2m 12s,2010-05-21T02:47:47Z
73oHZWcbdTw,Dog The Bounty Hunter: Beth's Old House | A&E,2m 7s,2010-05-14T23:15:25Z
g0aoFnEAruo,Billy the Exterminator: Billy's Story | A&E,2m 31s,2010-05-07T19:39:59Z
NvruNj5lDog,The Exterminators: Ricky's Gopher Encounter | A&E,1m 14s,2010-05-07T19:36:39Z
vJvit15suts,Gene Simmons: Family Jewels: Jack the Ripper | A&E,3m 48s,2010-05-07T19:34:04Z
7-gjKU4257c,Gene Simmons: Family Jewels: Business is Pleasure | A&E,2m 45s,2010-05-07T19:33:07Z
7HxMCw36xAU,Gene Simmons: Family Jewels: Paris Photo Sessions: Montage | A&E,2m 7s,2010-05-07T19:32:59Z
iVUFJmxWRXQ,Gene Simmons: Family Jewels: Paris Photo Sessions: Gene in the Way | A&E,2m 34s,2010-05-07T19:32:41Z
uCMMwDdmGco,Gene Simmons: Family Jewels: Redecorating with Gene Simmons | A&E,2m 30s,2010-05-07T19:31:41Z
_fgEOfUw1gg,Billy the Exterminator: Billy's Favorite Injury | A&E,1m 28s,2010-05-07T19:29:35Z
V1YqIdEXaIU,Criss Angel Mindfreak: $9 Bar Bet | A&E,2m 24s,2010-04-30T15:00:15Z
IRgxMm13_1M,Criss Angel Mindfreak: Lipstick in Palm | A&E,2m 54s,2010-04-30T14:53:46Z
_475r5ugzNA,American Pickers: Bonus - Mike's Tour of the Workshop (Season 1) | History,2m 51s,2010-04-16T20:03:34Z
WgUR866PmS4,Dog The Bounty Hunter: The Colorado Contest Part 1 | A&E,3m 39s,2010-03-18T19:06:08Z
bHatWuXx5RU,Criss Angel Mindfreak: Toothpick Trick | A&E,2m 39s,2010-03-18T18:58:10Z
EvX-bwWsoU4,Dog The Bounty Hunter: The Colorado Contest Part 2 | A&E,2m 57s,2010-03-18T18:58:02Z
zvP1YjeTmj4,Dog The Bounty Hunter: A Bounty Hunter Needs His Boots | A&E,1m 39s,2010-03-18T18:55:44Z
Snv6nf0R2NQ,Gene Simmons: Family Jewels: Gene Simmons Love Doctor | A&E,2m 2s,2010-03-08T16:48:12Z
pwsMAZPQh5w,Hoarders: Deleted Scenes from Jennifer & Ron | A&E,1m 42s,2010-03-08T16:44:31Z
V2HTSDL2xEQ,Gene Simmons: Family Jewels: Gene's Trophy Room | A&E,2m 35s,2010-03-08T16:37:22Z
cC_eMZ3WFt4,Gene Simmons: Family Jewels: Just Say No to Beer Pressure | A&E,2m 29s,2010-03-08T16:28:45Z
uLRPI4R1Jz4,Gene Simmons: Family Jewels: Private Simmons: Martial Arts Training | A&E,2m 37s,2010-03-08T16:26:33Z
Lq18Ae3ke-Q,Hoarders: Deleted Scenes from Bill's house | A&E,1m 32s,2010-03-08T16:26:13Z
LfGoxJtZIKo,Hoarders: Deleted Scenes from Patty's House | A&E,1m 33s,2010-03-08T16:26:05Z
l_3R9p1BvvU,Gene Simmons: Family Jewels: Sophie's Belly Button Ring | A&E,1m 58s,2010-03-08T16:22:10Z
QmUP7q2EP8o,Criss Angel Mindfreak: Criss and Billy Gibbons | A&E,2m 6s,2010-02-26T16:51:37Z
_MAbj4QOkk0,American Pickers: Bonus - Picker Lingo (Season 1) | History,2m 10s,2010-02-22T14:22:57Z
jgSVtAXEAas,Criss Angel Mindfreak: Interview with Master Magician Lance Burton | A&E,1m 31s,2010-02-18T23:42:36Z
03Ki5kmiB9Q,Gene Simmons: Family Jewels: Simmons & Tweed Dating Catastrophes | A&E,2m 11s,2010-02-15T16:21:47Z
x0j2Q46m3iA,Gene Simmons: Family Jewels: Gene's Worst Dates | A&E,2m 31s,2010-02-15T16:16:43Z
JwrCdxWWhVA,Paranormal Cops: Blood Stained Floor | A&E,2m 34s,2010-02-15T16:15:57Z
oYwod_z2egM,Dog The Bounty Hunter: A Success Story | A&E,2m 32s,2010-02-15T16:11:25Z
c5PX_PJpIhU,Dog The Bounty Hunter: Night At The Casino | A&E,1m 45s,2010-02-15T16:04:50Z
QUGeC_YvpAU,American Pickers: Bonus - Every Pick Has a Story (Season 1) | History,2m 15s,2010-02-05T15:42:07Z
n4rQ4YdDP8Q,Dog The Bounty Hunter: It Takes Two to Tango | A&E,2m 15s,2010-01-26T17:07:14Z
8ND27hGNNTA,Manhunters: Fugitive Task Force: Surveillance Food | A&E,3m 1s,2010-01-26T17:06:41Z
AEjWJQ_mDk8,American Pickers: Bonus - Rejected at Gunpoint (Season 1) | History,2m 31s,2010-01-26T17:06:22Z
jWQIGqurmqg,Dog The Bounty Hunter: A Day at Dolphin Quest | A&E,3m 18s,2010-01-26T16:43:36Z
fZ1WEq9ViQI,Manhunters: Fugitive Task Force: Roxanne Lopez's Most Memorable Moment | A&E,1m 54s,2010-01-26T16:38:24Z
fomD6Uqq-IY,Manhunters: Fugitive Task Force: Lenny DePaul Character Profile | A&E,2m 39s,2010-01-26T16:36:42Z
otl0HPAqynM,The First 48: Surveillance Montage | A&E,2m 9s,2010-01-26T16:35:06Z
Dk0maQfOL2g,Manhunters Preview | A&E,31s,2010-01-08T18:43:29Z
