##2010
t1kFiehGh9s,Baby Turtle Swimming Frenzy | Nat Geo Wild,3m 51s,2010-12-30T18:12:25Z
3hJEV0hXzII,To Save a Shark | Nat Geo Wild,4m 54s,2010-10-26T16:17:57Z
SLoZ8UnDEz8,To Catch a Shark | Nat Geo Wild,4m 12s,2010-10-25T16:56:04Z
03YKT7ytJdE,Darwin in the Galapagos | Nat Geo Wild,3m 39s,2010-10-21T14:48:22Z
7ynuC8bvOUI,Siamang Swing! | Nat Geo Wild,3m 6s,2010-10-21T14:44:26Z
KrEUTS21RxQ,A Dog's Accidental Overdose | My Dog Ate What?,4m 34s,2010-10-19T16:09:20Z
uqZNQynKGS0,The Zoo Gets Fishy | Nat Geo Wild,3m 6s,2010-10-13T15:30:59Z
qXL448sDVqg,Bordello of Bees | Nat Geo Wild,2m 40s,2010-10-12T22:55:34Z
AWEQKLCqSRI,Dingo Fast Food | Nat Geo Wild,4m 2s,2010-10-08T15:22:41Z
0i8yUvht2eQ,Sick Kitty | Nat Geo Wild,4m 2s,2010-10-07T14:50:45Z
wSu5POb_2KI,Zebra Takedown! | Nat Geo Wild,2m 58s,2010-10-07T14:49:14Z
HaXeQoDv8HE,The Smell of Bear | Expedition Wild,3m 33s,2010-10-07T14:45:21Z
4_D08ndTby4,Hitting on Moose | Nat Geo Wild,2m 55s,2010-10-07T14:40:40Z
biaKjVgaDHM,Bear Surprise! | Expedition Wild,3m 45s,2010-10-01T14:56:27Z
dglKJ2woZ9w,The Ice Bear and the Arctic Fox | Nat Geo Wild,3m 32s,2010-09-29T14:49:54Z
kW6q5f_IEfA,On the Hunt | Nat Geo Wild,3m 22s,2010-09-28T15:40:08Z
Ady3qOXLZlU,Africa's Eye in the Sky | Nat Geo Wild,3m 58s,2010-09-24T16:02:19Z
5J_NMcp7zrI,Gator Plague | Nat Geo Wild,4m 16s,2010-09-23T18:41:08Z
F92Cl2A3E0w,Expedition Wild Tonight at 9p et/pt | Expedition Wild,16s,2010-09-23T16:06:57Z
_n2QJm35iNA,Trailer | Expedition Wild,16s,2010-09-23T16:05:54Z
dZF6nAfJDas,Expedition Wild Premieres Sep. 27 | Expedition Wild,16s,2010-09-23T16:04:35Z
H1GYiqqwalw,8000 Bee Stings | Nat Geo Wild,3m 7s,2010-09-22T16:33:21Z
mCFIQccFAdA,Swimming with the Turtles | Nat Geo Wild,4m 57s,2010-09-21T15:00:55Z
rCtgLOE1IP0,Pull Up a Carcass and Relax | Expedition Wild,3m 42s,2010-09-20T17:17:48Z
R1_3yYDnHfc,Growing Fox Cubs | Nat Geo Wild,2m 8s,2010-09-16T16:00:26Z
ToK558EXDGE,Seal Pups in Trouble | Nat Geo Wild,3m 44s,2010-09-15T17:03:52Z
JRnBCFM2liM,Orphaned Owls | Nat Geo Wild,4m 21s,2010-09-15T17:00:52Z
tI0NtphkeSw,Killing in the Water | Nat Geo Wild,2m 16s,2010-09-14T15:09:42Z
oisAiqWFeaE,Murdered by a Snake | Nat Geo Wild,4m 34s,2010-09-14T15:09:33Z
6OX0ES___EM,Death By Ant Hoarde | Nat Geo Wild,4m 22s,2010-09-14T15:07:21Z
8OjD5d_Kkos,Hand Raising Black Bears | Nat Geo Wild,5m 13s,2010-09-14T15:02:33Z
3cnl3dNxkHE,DC's Jumping Rats | Nat Geo Wild,4m 47s,2010-09-14T14:58:44Z
OlnwpOfGHtY,The Dark Side of Dolphins | Nat Geo Wild,2m 56s,2010-09-03T15:55:33Z
lIr4dVqFAq4,Swallowing 100 Pounds Whole | Nat Geo Wild,2m 41s,2010-09-02T16:21:44Z
SQo8I1KcRWY,Tracking Gorillas | Nat Geo Wild,3m 40s,2010-09-01T15:01:21Z
FIm2dPbhs6U,Rodent Invaders | Nat Geo Wild,3m 50s,2010-08-31T16:04:18Z
_xwtWIZYkP0,The Honorary Lion | Nat Geo Wild,4m 17s,2010-08-30T19:59:06Z
8JTHU6IFJQA,One Bite Killer Dragon | Nat Geo Wild,3m 4s,2010-08-26T14:50:44Z
gZFp3l9rHKU,Venom Hunting | Explorer,3m 45s,2010-08-25T14:29:54Z
_l3UczOz8Uk,Old Hippo vs. Young Hippo | Explorer,3m 22s,2010-08-24T18:53:38Z
bMoeYPjR8C4,Solar Powered Crocs | Explorer,4m 39s,2010-08-24T18:51:04Z
alfgAl6UDsI,Trojan Caterpillar | Nat Geo Wild,2m 17s,2010-08-18T17:21:02Z
2WMETYB7CTI,Poultry Police | Wild Nights,2m 43s,2010-08-18T17:18:05Z
PrIz30JLo_I,Hatching Crocs | Nat Geo Wild,2m 29s,2010-08-18T17:14:28Z
ljuLPsRfcbo,Anaconda Attack! | Explorer,2m 26s,2010-08-17T21:42:22Z
LzOmvIuskkE,Get Wild | Swamp Men,31s,2010-08-17T16:23:52Z
MbL3QGaOrRA,Battlefield Scavengers | Nat Geo Wild,2m 8s,2010-08-16T14:43:25Z
7tD5WLwSiGo,Jellyfish on the Hunt | Explorer,5m 6s,2010-08-12T18:48:42Z
lJSatNm4EdU,When Polar Bears Attack! | Explorer,3m 16s,2010-08-11T17:22:30Z
KtvKmflFpTw,Crocodile Vomit | Nat Geo Wild,5m 31s,2010-08-10T14:46:19Z
nlKZ8Wh-8Wc,Urban Species Fight! | Nat Geo Wild,3m 20s,2010-08-09T18:25:56Z
WrQwBA_cz6w,Beware the Giant Hornets | World's Deadliest,3m 10s,2010-08-06T16:08:01Z
l6d0v8yme3M,Hippo Day Spa | Nat Geo Wild,3m 53s,2010-08-04T15:47:32Z
M-8dJJA6i6w,The Deadly Jumping Spider | Nat Geo Wild,3m 2s,2010-07-29T15:27:42Z
3uUG6TzIFO0,Dying for the Monkey Cause | Rebel Monkeys,2m 49s,2010-07-28T15:15:30Z
zHfwPaD3fvQ,Decapitation by Shark | Nat Geo Wild,4m 37s,2010-07-27T17:02:38Z
ynf45Of4GMo,Macho Monkey Man | Rebel Monkeys,2m 44s,2010-07-27T17:00:03Z
o0152C1TaXg,Crocodile Stealth Strike | Nat Geo Wild,4m 8s,2010-07-22T15:44:20Z
sexgCGfgfCM,FASTEST Animals! | Nat Geo Wild,5m 8s,2010-07-22T15:28:19Z
0tyUVcydx5c,Lion Cubs' Humiliation | Nat Geo Wild,2m 40s,2010-07-22T15:21:43Z
_82Ie9Qaowc,Hunting for Monkey Breakfast | Rebel Monkeys,3m 35s,2010-07-21T14:57:41Z
kLPFNL1FenA,Monkey Gang Turf War | Rebel Monkeys,3m 22s,2010-07-21T14:50:51Z
JnSIxO9Mujs,Polar Kings | Nat Geo Wild,4m 44s,2010-07-19T16:26:14Z
Mza1y8SChzg,Super Snake on the Loose | Nat Geo Wild,3m 55s,2010-07-19T15:57:28Z
5ZFcpGLrqxE,Vulture Attack | Nat Geo Wild,2m 28s,2010-07-15T17:10:49Z
2ynxyE3MAxk,Lurking Monkey Monsters | Rebel Monkeys,4m 3s,2010-07-15T17:08:47Z
apFB7ujKvFI,Acrobatic Jungle Monkeys | Nat Geo Wild,2m 55s,2010-07-14T15:24:22Z
9_TA4Zfo1rQ,Suburban Moose Massacre | Nat Geo Wild,3m 25s,2010-07-13T19:23:51Z
T5cCr6_Kd7k,Buffalo Soldiers | Nat Geo Wild,2m 19s,2010-07-13T19:21:18Z
VpYXciSSKm0,Hey I Got a Python! | Nat Geo Wild,4m 2s,2010-07-08T16:08:51Z
s2qc2NhB-7A,Monkey Gangs Going Ape | Rebel Monkeys,5m 19s,2010-07-08T15:55:54Z
dldsYW5VZcQ,Eaten by a Croc? | Nat Geo Wild,2m 47s,2010-07-07T18:04:09Z
kD66NvgUoIU,A Narrow Escape | Rebel Monkeys,4m 49s,2010-07-06T15:24:31Z
BYTvmw8Rm9w,Forest Elephants | Nat Geo Wild,3m 1s,2010-07-06T15:13:52Z
r6D9tBXwV5A,Bringing Eden Back | Nat Geo Wild,4m 44s,2010-07-01T14:19:16Z
fzE3o26mUnQ,Underwater Serengeti | Nat Geo Wild,5m 1s,2010-07-01T14:13:02Z
JUZ_A0fkZ1Q,Suburban Monkey Thieves | Rebel Monkeys,3m 5s,2010-06-30T15:57:54Z
nzxQMy4tiK0,Rickshaw Raid | Rebel Monkeys,3m 6s,2010-06-29T14:56:58Z
DyBHvAE-oiA,Surprise Lion Attack! | Nat Geo Wild,3m 36s,2010-06-28T17:36:17Z
O-6UzqGKCr8,Monkey Santa Claus | Rebel Monkeys,3m 35s,2010-06-25T21:45:24Z
Xe_TUDGtwBA,Inner City Monkey | Rebel Monkeys,3m 12s,2010-06-24T17:03:56Z
ApxSMR5falY,Gobbling Up Seals | Nat Geo Wild,3m 7s,2010-06-23T16:51:58Z
2NjEAHqmSSQ,Lions Going Extinct? | Nat Geo Wild,5m 33s,2010-06-22T22:29:53Z
I3tGBAiTKeM,Canine Design | Nat Geo Wild,4m 46s,2010-06-22T22:24:52Z
S6mwXtac1oE,Mammalian Murder Mystery | Nat Geo Wild,5m 39s,2010-06-17T17:59:58Z
WJ6wZy_vMXo,Carnivorous Baboon Rage | Nat Geo Wild,4m 44s,2010-06-17T17:56:59Z
L0Y_SlITJgE,Giraffe Knock-Out! | Caught in the Act,2m 58s,2010-06-16T15:49:16Z
c0gtbwH1HTY,Claws of Fury | Nat Geo Wild,2m 22s,2010-06-16T15:24:45Z
TJ5lDpQKigk,Giant Python on the Loose | Nat Geo Wild,5m 16s,2010-06-11T15:58:56Z
ifErUXPdw8Y,Siberia's Stripes of Death | Nat Geo Wild,4m 53s,2010-06-10T14:46:40Z
mGbXHZjdEbw,Attack of Hogzilla | Nat Geo Wild,5m 9s,2010-06-08T17:03:10Z
ZeQZPU9403E,Household Pets in Peril | Nat Geo Wild,5m 6s,2010-06-07T17:34:15Z
0E4OKEaQyKA,Homicidal Hyenas | Nat Geo Wild,5m 38s,2010-06-03T17:56:02Z
XURzcycBE6M,Predators Come Out at Night | Nat Geo Wild,4m 28s,2010-06-03T17:52:09Z
_5-Uxhkq06g,Itsy Bitsy Adorable Death | Nat Geo Wild,3m 59s,2010-06-02T15:56:35Z
1QDJYw9SA4A,Tentacles of Doom | Nat Geo Wild,3m 29s,2010-06-02T15:16:58Z
rI8IiLqIEV0,Venomous Cane Toads | Nat Geo Wild,2m 53s,2010-06-02T15:10:19Z
WvdstiXWscw,A Gator's Guide to Lunch | Nat Geo Wild,5m 22s,2010-05-27T16:17:36Z
pLmkiqI-8BA,Shark in the Shadows | Nat Geo Live,2m 38s,2010-05-27T16:16:30Z
ZiHJ4n9erF8,Creatures in the Neighborhood | Nat Geo Wild,4m 23s,2010-05-26T15:47:27Z
Lv659ZM6L6o,Leader of the Pack | Nat Geo Wild,4m 51s,2010-05-25T14:45:29Z
zKd9F9WbUgo,Baby Squirrel Chimney Sweep | Nat Geo Wild,5m 10s,2010-05-24T17:41:39Z
5PARxMYhUTw,The Underwear-Eating Dog | My Dog Ate What?,4m 18s,2010-05-17T17:50:47Z
j20EYg56UAg,Panther Search | Swamp Men,3m 44s,2010-05-17T17:44:51Z
Z5c-E_k-8mo,Octopus Up Close | Nat Geo Wild,2m 59s,2010-05-17T17:31:11Z
4crkC7fX0f0,Catchin' Sockeye Bear Style | Expedition Wild,4m 4s,2010-05-17T17:29:15Z
1dCf_VM-zAE,Gorilla Mating | Mystery Gorillas,2m 37s,2010-05-17T17:27:38Z
36D10yzCKuE,Joe the Canine ATM | My Dog Ate What?,3m 54s,2010-05-17T17:21:55Z
6tBNcD7jbrs,Candy-Lovin' Monkeys | Rebel Monkeys,3m 36s,2010-05-17T16:37:20Z
s-dQ_hkEotE,Brutus Takes the Plunge | Expedition Wild,3m 44s,2010-05-17T16:33:47Z
w26vyvUd8Gc,Bear Sushi | Expedition Wild,3m 6s,2010-05-17T16:29:44Z
wCx2qLjrGcE,Baby Elephant Collapse | Caught in the Act,2m 23s,2010-05-17T16:25:16Z
